"","class_ID","class_name","scientific_name","number_of_training_images","num_correct","num_photos_this_spp_at_this_Site_in_test","recall","precision","false_positive_rate","false_negative_rate"
"1","1","Cattle","Bos taurus","459271","50802","50994","0.99623485115896","0.992129674836442","0.00787032516355825","0.00376514884104012"
"2","2","Quail","Callipepla californica","2039","214","227","0.94273127753304","0.934497816593886","0.0655021834061135","0.0572687224669604"
"3","3","Canidae","Canidae","4944","483","546","0.884615384615385","0.92175572519084","0.0782442748091603","0.115384615384615"
"4","4","Elk","Cervus canadensis","19918","2130","2214","0.962059620596206","0.991620111731844","0.00837988826815642","0.037940379403794"
"5","5","Mustelidae","Mustelidae","170","16","19","0.842105263157895","1","0","0.157894736842105"
"6","6","Corvid","Corvidae","526","49","52","0.942307692307692","0.859649122807018","0.140350877192982","0.0576923076923077"
"8","8","Turkey","Meleagris gallopavo","679","74","76","0.973684210526316","0.948717948717949","0.0512820512820513","0.0263157894736842"
"11","11","Human","Homo sapiens","53240","5760","5919","0.973137354282818","0.982599795291709","0.0174002047082907","0.026862645717182"
"12","12","Rabbits","Leporidae","4150","438","462","0.948051948051948","0.941935483870968","0.0580645161290323","0.051948051948052"
"13","13","Bobcat","Lynx rufus","15937","1658","1773","0.935138183869148","0.940976163450624","0.0590238365493757","0.0648618161308517"
"14","14","Striped skunk","Mephitis mephitis","10330","1101","1148","0.959059233449477","0.960732984293194","0.0392670157068063","0.0409407665505226"
"16","16","Rodent","Rodentia","2057","192","229","0.838427947598253","0.888888888888889","0.111111111111111","0.161572052401747"
"17","17","Mule deer","Odocoileus hemionus","10822","1150","1200","0.958333333333333","0.980392156862745","0.0196078431372549","0.0416666666666667"
"19","19","Raccoon","Procyon lotor","94","8","8","1","0.888888888888889","0.111111111111111","0"
"20","20","Mountain lion","Puma concolor","12748","1319","1416","0.931497175141243","0.971997052321297","0.028002947678703","0.0685028248587571"
"21","21","Squirrel","Sciurus spp.","54615","5902","6068","0.9726433750824","0.957961369907483","0.0420386300925174","0.0273566249176005"
"22","22","Wild pig","Sus scrofa","53860","5834","5983","0.975096105632626","0.970715474209651","0.0292845257903494","0.0249038943673742"
"23","23","Fox","Vulpes vulpes and Urocyon Cinereoargenteus","9199","967","1023","0.945259042033236","0.951771653543307","0.0482283464566929","0.0547409579667644"
"24","24","Black Bear","Ursus americanus","21109","2168","2345","0.924520255863539","0.952548330404218","0.0474516695957821","0.0754797441364606"
"25","25","Vehicle","","11955","1252","1347","0.929472902746845","0.952091254752852","0.0479087452471483","0.0705270972531552"
"26","26","Bird","Aves","3469","352","396","0.888888888888889","0.897959183673469","0.102040816326531","0.111111111111111"
"27","27","Empty","","67944","7540","7628","0.988463555322496","0.984848484848485","0.0151515151515152","0.0115364446775039"
"23.1","",NA,"","819076","89409","91073","0.981728942716283","0.981728942716283","",""
