epoch_number,epoch_runtime_min,train_loss,validate_loss,validate_accuracy,validate_runtime_min,batch_size_train,batch_size_validate,learning_rate,pretrained,class_selection,samples_per_class,transformations
0,2.56,3.4789350032806396,0.8744940757751465,,1.83,64,64,0.1,True,"[('empty', 0), ('rat', 7), ('rabbit', 22), ('petrel', 21), ('iguana', 3)]",1000,"[RandomCrop(size=(1024, 1280), padding=None), ToTensor(), Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])]"
1,2.07,0.6104174256324768,0.3941926062107086,,1.49,64,64,0.1,True,"[('empty', 0), ('rat', 7), ('rabbit', 22), ('petrel', 21), ('iguana', 3)]",1000,"[RandomCrop(size=(1024, 1280), padding=None), ToTensor(), Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])]"
2,1.92,0.3610022962093353,0.36126360297203064,,1.33,64,64,0.1,True,"[('empty', 0), ('rat', 7), ('rabbit', 22), ('petrel', 21), ('iguana', 3)]",1000,"[RandomCrop(size=(1024, 1280), padding=None), ToTensor(), Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])]"
3,1.95,0.30443689227104187,0.2848033308982849,,1.33,64,64,0.1,True,"[('empty', 0), ('rat', 7), ('rabbit', 22), ('petrel', 21), ('iguana', 3)]",1000,"[RandomCrop(size=(1024, 1280), padding=None), ToTensor(), Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])]"
4,1.88,0.24768859148025513,0.4612520933151245,,1.36,64,64,0.1,True,"[('empty', 0), ('rat', 7), ('rabbit', 22), ('petrel', 21), ('iguana', 3)]",1000,"[RandomCrop(size=(1024, 1280), padding=None), ToTensor(), Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])]"
5,1.92,0.32557862997055054,0.34386467933654785,,1.34,64,64,0.1,True,"[('empty', 0), ('rat', 7), ('rabbit', 22), ('petrel', 21), ('iguana', 3)]",1000,"[RandomCrop(size=(1024, 1280), padding=None), ToTensor(), Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])]"
6,1.89,0.2700147330760956,0.24932505190372467,,1.35,64,64,0.1,True,"[('empty', 0), ('rat', 7), ('rabbit', 22), ('petrel', 21), ('iguana', 3)]",1000,"[RandomCrop(size=(1024, 1280), padding=None), ToTensor(), Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])]"
7,1.93,0.16205833852291107,0.19950933754444122,,1.33,64,64,0.1,True,"[('empty', 0), ('rat', 7), ('rabbit', 22), ('petrel', 21), ('iguana', 3)]",1000,"[RandomCrop(size=(1024, 1280), padding=None), ToTensor(), Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])]"
8,1.93,0.20429526269435883,0.19153979420661926,,1.35,64,64,0.1,True,"[('empty', 0), ('rat', 7), ('rabbit', 22), ('petrel', 21), ('iguana', 3)]",1000,"[RandomCrop(size=(1024, 1280), padding=None), ToTensor(), Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])]"
9,1.95,0.25241172313690186,0.27187877893447876,,1.36,64,64,0.1,True,"[('empty', 0), ('rat', 7), ('rabbit', 22), ('petrel', 21), ('iguana', 3)]",1000,"[RandomCrop(size=(1024, 1280), padding=None), ToTensor(), Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])]"
