epoch_number,train_runtime_min,training_loss,validation_loss,mean_accuracy,validation_runtime_min,batch_size,learning_rate,pretrained,finetuning_all_layers,finetuning_last_layer,class_selection,samples_per_class,transformations
0,34.1,0.1735514998435974,0.1273084431886673,0.9034551668211306,12.16,64,0.01,True,False,True,top_5_categories,5300,transformations_simple_ResNet18
1,30.11,0.12040917575359344,0.09205710142850876,0.9307808155699722,10.9,64,0.01,True,False,True,top_5_categories,5300,transformations_simple_ResNet18
2,28.44,0.10785261541604996,0.10106844455003738,0.9224542400370713,10.56,64,0.01,True,False,True,top_5_categories,5300,transformations_simple_ResNet18
3,28.67,0.10852957516908646,0.08391565829515457,0.9344589898053755,10.61,64,0.01,True,False,True,top_5_categories,5300,transformations_simple_ResNet18
4,28.36,0.10807657986879349,0.12454117089509964,0.9288113994439297,10.34,64,0.01,True,False,True,top_5_categories,5300,transformations_simple_ResNet18
5,28.68,0.09979408979415894,0.08662734925746918,0.9370510889712698,10.7,64,0.01,True,False,True,top_5_categories,5300,transformations_simple_ResNet18
6,28.4,0.10184593498706818,0.0921994149684906,0.9398604031510659,10.52,64,0.01,True,False,True,top_5_categories,5300,transformations_simple_ResNet18
7,28.76,0.0995173528790474,0.08613556623458862,0.9366166589434662,10.37,64,0.01,True,False,True,top_5_categories,5300,transformations_simple_ResNet18
8,28.97,0.09582129865884781,0.09133436530828476,0.9312152455977758,10.79,64,0.01,True,False,True,top_5_categories,5300,transformations_simple_ResNet18
9,28.88,0.09850713610649109,0.0840730369091034,0.935965013901761,10.88,64,0.01,True,False,True,top_5_categories,5300,transformations_simple_ResNet18
10,28.95,0.09486892819404602,0.0791783481836319,0.9438571594068581,10.61,64,0.01,True,False,True,top_5_categories,5300,transformations_simple_ResNet18
11,29.21,0.09187909215688705,0.09178919345140457,0.9409464782205746,10.9,64,0.01,True,False,True,top_5_categories,5300,transformations_simple_ResNet18
12,29.1,0.09404396265745163,0.09362824261188507,0.9392522011121409,10.68,64,0.01,True,False,True,top_5_categories,5300,transformations_simple_ResNet18
,,,,,,64,0.01,True,False,True,top_5_categories,5300,transformations_simple_ResNet18
,,,,,,64,0.01,True,False,True,top_5_categories,5300,transformations_simple_ResNet18
,,,,,,64,0.01,True,False,True,top_5_categories,5300,transformations_simple_ResNet18
,,,,,,64,0.01,True,False,True,top_5_categories,5300,transformations_simple_ResNet18
,,,,,,64,0.01,True,False,True,top_5_categories,5300,transformations_simple_ResNet18
,,,,,,64,0.01,True,False,True,top_5_categories,5300,transformations_simple_ResNet18
,,,,,,64,0.01,True,False,True,top_5_categories,5300,transformations_simple_ResNet18
,,,,,,64,0.01,True,False,True,top_5_categories,5300,transformations_simple_ResNet18
,,,,,,64,0.01,True,False,True,top_5_categories,5300,transformations_simple_ResNet18
,,,,,,64,0.01,True,False,True,top_5_categories,5300,transformations_simple_ResNet18
,,,,,,64,0.01,True,False,True,top_5_categories,5300,transformations_simple_ResNet18
,,,,,,64,0.01,True,False,True,top_5_categories,5300,transformations_simple_ResNet18
,,,,,,64,0.01,True,False,True,top_5_categories,5300,transformations_simple_ResNet18
,,,,,,64,0.01,True,False,True,top_5_categories,5300,transformations_simple_ResNet18
,,,,,,64,0.01,True,False,True,top_5_categories,5300,transformations_simple_ResNet18
,,,,,,64,0.01,True,False,True,top_5_categories,5300,transformations_simple_ResNet18
,,,,,,64,0.01,True,False,True,top_5_categories,5300,transformations_simple_ResNet18
,,,,,,64,0.01,True,False,True,top_5_categories,5300,transformations_simple_ResNet18
,,,,,,64,0.01,True,False,True,top_5_categories,5300,transformations_simple_ResNet18
,,,,,,64,0.01,True,False,True,top_5_categories,5300,transformations_simple_ResNet18
,,,,,,64,0.01,True,False,True,top_5_categories,5300,transformations_simple_ResNet18
,,,,,,64,0.01,True,False,True,top_5_categories,5300,transformations_simple_ResNet18
,,,,,,64,0.01,True,False,True,top_5_categories,5300,transformations_simple_ResNet18
,,,,,,64,0.01,True,False,True,top_5_categories,5300,transformations_simple_ResNet18
,,,,,,64,0.01,True,False,True,top_5_categories,5300,transformations_simple_ResNet18
,,,,,,64,0.01,True,False,True,top_5_categories,5300,transformations_simple_ResNet18
,,,,,,64,0.01,True,False,True,top_5_categories,5300,transformations_simple_ResNet18
,,,,,,64,0.01,True,False,True,top_5_categories,5300,transformations_simple_ResNet18
,,,,,,64,0.01,True,False,True,top_5_categories,5300,transformations_simple_ResNet18
,,,,,,64,0.01,True,False,True,top_5_categories,5300,transformations_simple_ResNet18
,,,,,,64,0.01,True,False,True,top_5_categories,5300,transformations_simple_ResNet18
,,,,,,64,0.01,True,False,True,top_5_categories,5300,transformations_simple_ResNet18
,,,,,,64,0.01,True,False,True,top_5_categories,5300,transformations_simple_ResNet18
,,,,,,64,0.01,True,False,True,top_5_categories,5300,transformations_simple_ResNet18
,,,,,,64,0.01,True,False,True,top_5_categories,5300,transformations_simple_ResNet18
,,,,,,64,0.01,True,False,True,top_5_categories,5300,transformations_simple_ResNet18
,,,,,,64,0.01,True,False,True,top_5_categories,5300,transformations_simple_ResNet18
