epoch_number,training_loss,validation_loss,train_runtime_min,validation_runtime_min,total_epoch_runtime_min,top1_accuracy,top3_accuracy,top5_accuracy,precision,recall,f1_score,support,false_negative_rate,false_positive_rate,batch_size,learning_rate,pretrained,finetuning_all_layers,finetuning_last_layer,class_selection,samples_per_class,transformations
0,0.8080177307128906,0.5371848344802856,0.35,0.12,0.47,0.32,0.69,1.0,[0.     0.     0.     0.2375 0.65  ],[0.     0.     0.     0.95   0.8125],[0.         0.         0.         0.38       0.72222222],[21 18 25 20 16],[1.     1.     1.     0.05   0.1875],[0.         0.         0.         0.7625     0.08333333],64,0.01,True,False,True,top_5_categories,100,transformations_like_literature
1,0.4427722096443176,0.29263556003570557,0.28,0.09,0.38,0.65,0.98,1.0,[0.62962963 0.93333333 0.48780488 1.         0.8       ],[0.80952381 0.73684211 0.95238095 0.08695652 0.75      ],[0.70833333 0.82352941 0.64516129 0.16       0.77419355],[21 19 21 23 16],[0.19047619 0.26315789 0.04761905 0.91304348 0.25      ],[0.12658228 0.01234568 0.26582278 0.         0.03571429],64,0.01,True,False,True,top_5_categories,100,transformations_like_literature
2,0.25599679350852966,0.23431554436683655,0.29,0.09,0.37,0.79,1.0,1.0,[1.         1.         1.         0.52777778 0.84      ],[0.4        0.9375     0.77777778 0.95       1.        ],[0.57142857 0.96774194 0.875      0.67857143 0.91304348],[25 16 18 20 21],[0.6        0.0625     0.22222222 0.05       0.        ],[0.         0.         0.         0.2125     0.05063291],64,0.01,True,False,True,top_5_categories,100,transformations_like_literature
3,0.22613425552845,0.15769338607788086,0.28,0.09,0.38,0.89,0.99,1.0,[0.84210526 0.89285714 0.89473684 0.92307692 0.9047619 ],[0.72727273 1.         0.94444444 0.8        0.95      ],[0.7804878  0.94339623 0.91891892 0.85714286 0.92682927],[22 25 18 15 20],[0.27272727 0.         0.05555556 0.2        0.05      ],[0.03846154 0.04       0.02439024 0.01176471 0.025     ],64,0.01,True,False,True,top_5_categories,100,transformations_like_literature
4,0.1675233691930771,0.1497000753879547,0.28,0.09,0.37,0.92,0.99,1.0,[0.95       1.         0.95652174 0.83333333 0.86956522],[0.76       1.         0.95652174 1.         0.95238095],[0.84444444 1.         0.95652174 0.90909091 0.90909091],[25 16 23 15 21],[0.24       0.         0.04347826 0.         0.04761905],[0.01333333 0.         0.01298701 0.03529412 0.03797468],64,0.01,True,False,True,top_5_categories,100,transformations_like_literature
5,0.15256358683109283,0.1274479329586029,0.28,0.09,0.37,0.92,0.99,1.0,[0.84615385 0.86666667 1.         0.95238095 0.95      ],[0.88       0.92857143 0.94736842 0.95238095 0.9047619 ],[0.8627451  0.89655172 0.97297297 0.95238095 0.92682927],[25 14 19 21 21],[0.12       0.07142857 0.05263158 0.04761905 0.0952381 ],[0.05333333 0.02325581 0.         0.01265823 0.01265823],64,0.01,True,False,True,top_5_categories,100,transformations_like_literature
6,0.13607148826122284,0.114949069917202,0.28,0.09,0.37,0.91,0.98,1.0,[0.69230769 0.95833333 1.         0.95238095 0.88      ],[0.81818182 1.         0.89473684 0.83333333 0.95652174],[0.75       0.9787234  0.94444444 0.88888889 0.91666667],[11 23 19 24 23],[0.18181818 0.         0.10526316 0.16666667 0.04347826],[0.04494382 0.01298701 0.         0.01315789 0.03896104],64,0.01,True,False,True,top_5_categories,100,transformations_like_literature
7,0.11097624152898788,0.13319745659828186,0.28,0.09,0.38,0.9,0.99,1.0,[0.88235294 1.         0.88461538 0.83333333 0.94736842],[0.68181818 0.93333333 1.         0.95238095 0.94736842],[0.76923077 0.96551724 0.93877551 0.88888889 0.94736842],[22 15 23 21 19],[0.31818182 0.06666667 0.         0.04761905 0.05263158],[0.02564103 0.         0.03896104 0.05063291 0.01234568],64,0.01,True,False,True,top_5_categories,100,transformations_like_literature
8,0.11196904629468918,0.09897518157958984,0.28,0.09,0.37,0.94,1.0,1.0,[0.89285714 0.95       1.         0.94736842 0.94736842],[0.89285714 0.95       1.         0.94736842 0.94736842],[0.89285714 0.95       1.         0.94736842 0.94736842],[28 20 14 19 19],[0.10714286 0.05       0.         0.05263158 0.05263158],[0.04166667 0.0125     0.         0.01234568 0.01234568],64,0.01,True,False,True,top_5_categories,100,transformations_like_literature
9,0.08997247368097305,0.11962451785802841,0.28,0.09,0.37,0.94,1.0,1.0,[0.85       0.91304348 0.94117647 1.         1.        ],[0.85       0.95454545 1.         0.91304348 1.        ],[0.85       0.93333333 0.96969697 0.95454545 1.        ],[20 22 16 23 19],[0.15       0.04545455 0.         0.08695652 0.        ],[0.0375     0.02564103 0.01190476 0.         0.        ],64,0.01,True,False,True,top_5_categories,100,transformations_like_literature
