epoch_number,training_loss,validation_loss,train_runtime_min,validation_runtime_min,total_epoch_runtime_min,top1_accuracy,top3_accuracy,top5_accuracy,precision,recall,f1_score,support,false_negative_rate,false_positive_rate,batch_size,learning_rate,pretrained,finetuning_all_layers,finetuning_last_layer,class_selection,samples_per_class,transformations
0,0.1263418197631836,0.09495978057384491,119.05,39.14,158.19,0.9065699867718388,0.9996570476703738,1.0,[0.95386775 0.82683094 0.86621824 0.76040848 0.65267728],[0.92235583 0.87790698 0.94227642 0.77316294 0.83133641],[0.93784717 0.85160381 0.90264798 0.76673267 0.73125253],[15468  1376  1230  1252  1085],[0.07764417 0.12209302 0.05772358 0.22683706 0.16866359],[0.13959134 0.01329131 0.00933215 0.01591941 0.02483701],128,0.01,True,False,True,top_5_categories,all,transformations_like_literature
1,0.0956503376364708,0.09110232442617416,110.89,37.39,148.28,0.9092646122189015,0.9993630885306942,1.0,[0.91893386 0.91437309 0.91157025 0.83912612 0.74958541],[0.96653963 0.85245902 0.90632703 0.67926045 0.42401501],[0.94213575 0.88233124 0.90894108 0.75077743 0.5416417 ],[15481  1403  1217  1244  1066],[0.03346037 0.14754098 0.09367297 0.32073955 0.57598499],[0.26774848 0.00589226 0.00557466 0.00845203 0.00780563],128,0.01,True,False,True,top_5_categories,all,transformations_like_literature
2,0.09331540763378143,0.0881880447268486,111.63,37.07,148.7,0.9141639312135613,0.9997060408603204,1.0,[0.94847577 0.85347222 0.85434783 0.75197699 0.75943396],[0.93929816 0.91172107 0.96639344 0.81846635 0.60583255],[0.94386465 0.88163558 0.90692308 0.78381416 0.67399267],[15502  1348  1220  1278  1063],[0.06070184 0.08827893 0.03360656 0.18153365 0.39416745],[0.16113261 0.01106856 0.01047366 0.01803167 0.01054373],128,0.01,True,False,True,top_5_categories,all,transformations_like_literature
3,0.09225063771009445,0.0973103865981102,111.63,37.11,148.74,0.917005536230464,0.9998040272402136,1.0,[0.957727   0.91001565 0.94467728 0.75464396 0.62080767],[0.93356868 0.84766764 0.91255061 0.79656863 0.907     ],[0.94549355 0.87773585 0.92833608 0.77503975 0.73709874],[15580  1372  1235  1224  1000],[0.06643132 0.15233236 0.08744939 0.20343137 0.093     ],[0.13289174 0.00604023 0.0034418  0.0165216  0.02854052],128,0.01,True,False,True,top_5_categories,all,transformations_like_literature
4,0.09105802327394485,0.08168067038059235,110.55,37.1,147.66,0.9207290186664053,0.9998040272402136,1.0,[0.93742138 0.8732493  0.95974955 0.82005623 0.77171492],[0.96055939 0.91154971 0.89342215 0.73038397 0.61490683],[0.94884935 0.89198856 0.92539888 0.77262693 0.68444444],[15517  1368  1201  1198  1127],[0.03944061 0.08845029 0.10657785 0.26961603 0.38509317],[0.20331018 0.0095048  0.00234253 0.00999323 0.01063057],128,0.01,True,False,True,top_5_categories,all,transformations_like_literature
5,0.08923983573913574,0.0865352675318718,110.88,37.0,147.89,0.9199451276272598,0.9998040272402136,1.0,[0.92543699 0.92719665 0.97297297 0.85354478 0.80112835],[0.97394996 0.83496609 0.8729097  0.71040373 0.53941121],[0.94907393 0.87866772 0.92022918 0.77542373 0.64472191],[15547  1327  1196  1288  1053],[0.02605004 0.16503391 0.1270903  0.28959627 0.46058879],[0.25082237 0.00455879 0.00150924 0.00821001 0.00728381],128,0.01,True,False,True,top_5_categories,all,transformations_like_literature
,,,,,,,,,,,,,,,128,0.01,True,False,True,top_5_categories,all,transformations_like_literature
,,,,,,,,,,,,,,,128,0.01,True,False,True,top_5_categories,all,transformations_like_literature
,,,,,,,,,,,,,,,128,0.01,True,False,True,top_5_categories,all,transformations_like_literature
,,,,,,,,,,,,,,,128,0.01,True,False,True,top_5_categories,all,transformations_like_literature
,,,,,,,,,,,,,,,128,0.01,True,False,True,top_5_categories,all,transformations_like_literature
,,,,,,,,,,,,,,,128,0.01,True,False,True,top_5_categories,all,transformations_like_literature
,,,,,,,,,,,,,,,128,0.01,True,False,True,top_5_categories,all,transformations_like_literature
,,,,,,,,,,,,,,,128,0.01,True,False,True,top_5_categories,all,transformations_like_literature
,,,,,,,,,,,,,,,128,0.01,True,False,True,top_5_categories,all,transformations_like_literature
,,,,,,,,,,,,,,,128,0.01,True,False,True,top_5_categories,all,transformations_like_literature
,,,,,,,,,,,,,,,128,0.01,True,False,True,top_5_categories,all,transformations_like_literature
,,,,,,,,,,,,,,,128,0.01,True,False,True,top_5_categories,all,transformations_like_literature
,,,,,,,,,,,,,,,128,0.01,True,False,True,top_5_categories,all,transformations_like_literature
,,,,,,,,,,,,,,,128,0.01,True,False,True,top_5_categories,all,transformations_like_literature
,,,,,,,,,,,,,,,128,0.01,True,False,True,top_5_categories,all,transformations_like_literature
,,,,,,,,,,,,,,,128,0.01,True,False,True,top_5_categories,all,transformations_like_literature
,,,,,,,,,,,,,,,128,0.01,True,False,True,top_5_categories,all,transformations_like_literature
,,,,,,,,,,,,,,,128,0.01,True,False,True,top_5_categories,all,transformations_like_literature
,,,,,,,,,,,,,,,128,0.01,True,False,True,top_5_categories,all,transformations_like_literature
,,,,,,,,,,,,,,,128,0.01,True,False,True,top_5_categories,all,transformations_like_literature
,,,,,,,,,,,,,,,128,0.01,True,False,True,top_5_categories,all,transformations_like_literature
,,,,,,,,,,,,,,,128,0.01,True,False,True,top_5_categories,all,transformations_like_literature
,,,,,,,,,,,,,,,128,0.01,True,False,True,top_5_categories,all,transformations_like_literature
,,,,,,,,,,,,,,,128,0.01,True,False,True,top_5_categories,all,transformations_like_literature
,,,,,,,,,,,,,,,128,0.01,True,False,True,top_5_categories,all,transformations_like_literature
,,,,,,,,,,,,,,,128,0.01,True,False,True,top_5_categories,all,transformations_like_literature
,,,,,,,,,,,,,,,128,0.01,True,False,True,top_5_categories,all,transformations_like_literature
,,,,,,,,,,,,,,,128,0.01,True,False,True,top_5_categories,all,transformations_like_literature
,,,,,,,,,,,,,,,128,0.01,True,False,True,top_5_categories,all,transformations_like_literature
,,,,,,,,,,,,,,,128,0.01,True,False,True,top_5_categories,all,transformations_like_literature
,,,,,,,,,,,,,,,128,0.01,True,False,True,top_5_categories,all,transformations_like_literature
,,,,,,,,,,,,,,,128,0.01,True,False,True,top_5_categories,all,transformations_like_literature
,,,,,,,,,,,,,,,128,0.01,True,False,True,top_5_categories,all,transformations_like_literature
,,,,,,,,,,,,,,,128,0.01,True,False,True,top_5_categories,all,transformations_like_literature
,,,,,,,,,,,,,,,128,0.01,True,False,True,top_5_categories,all,transformations_like_literature
,,,,,,,,,,,,,,,128,0.01,True,False,True,top_5_categories,all,transformations_like_literature
,,,,,,,,,,,,,,,128,0.01,True,False,True,top_5_categories,all,transformations_like_literature
,,,,,,,,,,,,,,,128,0.01,True,False,True,top_5_categories,all,transformations_like_literature
,,,,,,,,,,,,,,,128,0.01,True,False,True,top_5_categories,all,transformations_like_literature
,,,,,,,,,,,,,,,128,0.01,True,False,True,top_5_categories,all,transformations_like_literature
,,,,,,,,,,,,,,,128,0.01,True,False,True,top_5_categories,all,transformations_like_literature
,,,,,,,,,,,,,,,128,0.01,True,False,True,top_5_categories,all,transformations_like_literature
,,,,,,,,,,,,,,,128,0.01,True,False,True,top_5_categories,all,transformations_like_literature
,,,,,,,,,,,,,,,128,0.01,True,False,True,top_5_categories,all,transformations_like_literature
