epoch_number,training_loss,validation_loss,train_runtime_min,validation_runtime_min,total_epoch_runtime_min,top1_accuracy,top3_accuracy,top5_accuracy,precision,recall,f1_score,support,false_negative_rate,false_positive_rate,batch_size,learning_rate,pretrained,finetuning_all_layers,finetuning_last_layer,class_selection,samples_per_class,transformations
0,0.5741866827011108,0.2319825440645218,0.51,0.18,0.69,0.86,0.99,1.0,[0.66666667 1.         0.89473684 0.85714286 0.90909091],[0.73684211 0.80952381 0.89473684 0.9        0.95238095],[0.7        0.89473684 0.89473684 0.87804878 0.93023256],[19 21 19 20 21],[0.26315789 0.19047619 0.10526316 0.1        0.04761905],[0.08641975 0.         0.02469136 0.0375     0.02531646],16,0.01,True,False,True,top_5_categories,100,transformations_like_literature
1,0.2412887066602707,0.16513530910015106,0.52,0.17,0.69,0.9,0.99,1.0,[0.94736842 0.85       0.92307692 0.8        0.96428571],[0.72       1.         0.85714286 1.         0.96428571],[0.81818182 0.91891892 0.88888889 0.88888889 0.96428571],[25 17 14 16 28],[0.28       0.         0.14285714 0.         0.03571429],[0.01333333 0.03614458 0.01162791 0.04761905 0.01388889],16,0.01,True,False,True,top_5_categories,100,transformations_like_literature
2,0.15593484044075012,0.1404012143611908,0.52,0.19,0.72,0.88,0.98,1.0,[0.88888889 1.         0.86956522 0.68       1.        ],[0.5        1.         0.95238095 1.         0.86956522],[0.64       1.         0.90909091 0.80952381 0.93023256],[16 23 21 17 23],[0.5        0.         0.04761905 0.         0.13043478],[0.01190476 0.         0.03797468 0.09638554 0.        ],16,0.01,True,False,True,top_5_categories,100,transformations_like_literature
3,0.1319131702184677,0.11039473116397858,0.57,0.19,0.76,0.92,0.98,1.0,[1.         0.9047619  0.95238095 0.88235294 0.88888889],[0.66666667 1.         1.         1.         0.96      ],[0.8        0.95       0.97560976 0.9375     0.92307692],[21 19 20 15 25],[0.33333333 0.         0.         0.         0.04      ],[0.         0.02469136 0.0125     0.02352941 0.04      ],16,0.01,True,False,True,top_5_categories,100,transformations_like_literature
4,0.12854371964931488,0.09837769716978073,0.6,0.19,0.79,0.93,1.0,1.0,[0.94444444 0.91666667 1.         1.         0.84      ],[0.73913043 1.         1.         0.94117647 1.        ],[0.82926829 0.95652174 1.         0.96969697 0.91304348],[23 22 17 17 21],[0.26086957 0.         0.         0.05882353 0.        ],[0.01298701 0.02564103 0.         0.         0.05063291],16,0.01,True,False,True,top_5_categories,100,transformations_like_literature
5,0.13375142216682434,0.09976395219564438,0.58,0.19,0.77,0.94,0.99,1.0,[0.92857143 1.         1.         0.95238095 0.86666667],[0.72222222 1.         1.         0.95238095 1.        ],[0.8125     1.         1.         0.95238095 0.92857143],[18 17 18 21 26],[0.27777778 0.         0.         0.04761905 0.        ],[0.01219512 0.         0.         0.01265823 0.05405405],16,0.01,True,False,True,top_5_categories,100,transformations_like_literature
6,0.1117294430732727,0.061117809265851974,0.57,0.19,0.77,0.97,1.0,1.0,[1.         0.96296296 1.         0.92       1.        ],[0.85714286 1.         1.         1.         1.        ],[0.92307692 0.98113208 1.         0.95833333 1.        ],[21 26 13 23 17],[0.14285714 0.         0.         0.         0.        ],[0.         0.01351351 0.         0.02597403 0.        ],16,0.01,True,False,True,top_5_categories,100,transformations_like_literature
7,0.12516820430755615,0.05154312402009964,0.57,0.19,0.76,0.97,1.0,1.0,[1.         0.94736842 1.         1.         0.93548387],[0.82352941 1.         1.         1.         1.        ],[0.90322581 0.97297297 1.         1.         0.96666667],[17 18 15 21 29],[0.17647059 0.         0.         0.         0.        ],[0.         0.01219512 0.         0.         0.02816901],16,0.01,True,False,True,top_5_categories,100,transformations_like_literature
8,0.12145894765853882,0.05257318541407585,0.57,0.18,0.75,0.96,1.0,1.0,[1.         0.88888889 0.91304348 1.         1.        ],[0.84 1.   1.   1.   1.  ],[0.91304348 0.94117647 0.95454545 1.         1.        ],[25 16 21 21 17],[0.16 0.   0.   0.   0.  ],[0.         0.02380952 0.02531646 0.         0.        ],16,0.01,True,False,True,top_5_categories,100,transformations_like_literature
9,0.0951220840215683,0.06766705960035324,0.57,0.18,0.76,0.95,0.99,1.0,[1.         0.86956522 0.95652174 0.93333333 1.        ],[0.77272727 1.         1.         1.         1.        ],[0.87179487 0.93023256 0.97777778 0.96551724 1.        ],[22 20 22 14 22],[0.22727273 0.         0.         0.         0.        ],[0.         0.0375     0.01282051 0.01162791 0.        ],16,0.01,True,False,True,top_5_categories,100,transformations_like_literature
